iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_optimizer_ready_ns,next_node_contract,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_first_rs_ready_ns
55,144,9,0,rank144:B3,12144151412,first_optimizer_collective_or_local_tail,1785477757819984424,1785477757926694711,106710287,12250861699
55,145,9,1,rank145:B3,12138463288,first_optimizer_collective_or_local_tail,1785477757819539294,1785477757926396660,106857366,12245320654
55,146,9,2,rank146:B3,12145840620,first_optimizer_collective_or_local_tail,1785477757819591394,1785477757926235389,106643995,12252484615
55,147,9,3,rank147:B3,12141911498,first_optimizer_collective_or_local_tail,1785477757819710941,1785477757926224270,106513329,12248424827
55,148,9,4,rank148:B3,12148267908,first_optimizer_collective_or_local_tail,1785477757819816198,1785477757926156070,106339872,12254607780
55,149,9,5,rank149:B3,12147400841,first_optimizer_collective_or_local_tail,1785477757820254917,1785477757926172605,105917688,12253318529
55,150,9,6,rank150:B3,12141300117,first_optimizer_collective_or_local_tail,1785477757820450157,1785477757927312288,106862131,12248162248
55,151,9,7,rank151:B3,12141622910,first_optimizer_collective_or_local_tail,1785477757820436307,1785477757927732733,107296426,12248919336
55,152,9,8,rank152:B3,12336550351,first_optimizer_collective_or_local_tail,1785477757988863695,1785477758097967337,109103642,12445653993
55,153,9,9,rank153:B3,12354389004,first_optimizer_collective_or_local_tail,1785477757991014702,1785477758098290469,107275767,12461664771
55,154,9,10,rank154:B3,12352850799,first_optimizer_collective_or_local_tail,1785477757989021815,1785477758094901772,105879957,12458730756
55,155,9,11,rank155:B3,12355039854,first_optimizer_collective_or_local_tail,1785477757988164055,1785477758094870135,106706080,12461745934
55,156,9,12,rank156:B3,12354705072,first_optimizer_collective_or_local_tail,1785477757988609012,1785477758095160387,106551375,12461256447
55,157,9,13,rank157:B3,12354614659,first_optimizer_collective_or_local_tail,1785477757989289495,1785477758094765516,105476021,12460090680
55,158,9,14,rank158:B3,12348810415,first_optimizer_collective_or_local_tail,1785477757988374785,1785477758096155176,107780391,12456590806
55,159,9,15,rank159:B3,12346741048,first_optimizer_collective_or_local_tail,1785477757988342534,1785477758095530344,107187810,12453928858
55,160,10,0,rank160:B3,11420237263,first_optimizer_collective_or_local_tail,1785477757001885837,1785477757130724133,128838296,11549075559
55,161,10,1,rank161:B3,11415515981,first_optimizer_collective_or_local_tail,1785477757002137293,1785477757130210624,128073331,11543589312
55,162,10,2,rank162:B3,11422128472,first_optimizer_collective_or_local_tail,1785477757001800714,1785477757130045311,128244597,11550373069
55,163,10,3,rank163:B3,11418535317,first_optimizer_collective_or_local_tail,1785477757001897950,1785477757130776359,128878409,11547413726
55,164,10,4,rank164:B3,11423659644,first_optimizer_collective_or_local_tail,1785477757002532102,1785477757129937718,127405616,11551065260
55,165,10,5,rank165:B3,11422620764,first_optimizer_collective_or_local_tail,1785477757002236032,1785477757129591738,127355706,11549976470
55,166,10,6,rank166:B3,11417276996,first_optimizer_collective_or_local_tail,1785477757002106551,1785477757130344305,128237754,11545514750
55,167,10,7,rank167:B3,11417237814,first_optimizer_collective_or_local_tail,1785477757002160137,1785477757130312892,128152755,11545390569
55,168,10,8,rank168:B3,11611049321,first_optimizer_collective_or_local_tail,1785477757170498020,1785477757278808101,108310081,11719359402
55,169,10,9,rank169:B3,11614025709,first_optimizer_collective_or_local_tail,1785477757170801318,1785477757280206923,109405605,11723431314
55,170,10,10,rank170:B3,11627270740,first_optimizer_collective_or_local_tail,1785477757171001424,1785477757280132175,109130751,11736401491
55,171,10,11,rank171:B3,11634345266,first_optimizer_collective_or_local_tail,1785477757172044524,1785477757280422242,108377718,11742722984
55,172,10,12,rank172:B3,11630120527,first_optimizer_collective_or_local_tail,1785477757171049838,1785477757280419019,109369181,11739489708
55,173,10,13,rank173:B3,11632079275,first_optimizer_collective_or_local_tail,1785477757171421959,1785477757280443307,109021348,11741100623
55,174,10,14,rank174:B3,11625758053,first_optimizer_collective_or_local_tail,1785477757171323768,1785477757279251297,107927529,11733685582
55,175,10,15,rank175:B3,11620730348,first_optimizer_collective_or_local_tail,1785477757170896675,1785477757280104303,109207628,11729937976
55,176,11,0,rank176:B3,10736274215,first_optimizer_collective_or_local_tail,1785477756224386230,1785477756330923378,106537148,10842811363
55,177,11,1,rank177:B3,10728554280,first_optimizer_collective_or_local_tail,1785477756221494500,1785477756330997535,109503035,10838057315
55,178,11,2,rank178:B3,10736990554,first_optimizer_collective_or_local_tail,1785477756223554241,1785477756330737888,107183647,10844174201
55,179,11,3,rank179:B3,10731320884,first_optimizer_collective_or_local_tail,1785477756221362527,1785477756330939479,109576952,10840897836
55,180,11,4,rank180:B3,10736564687,first_optimizer_collective_or_local_tail,1785477756222713310,1785477756330210357,107497047,10844061734
55,181,11,5,rank181:B3,10735998310,first_optimizer_collective_or_local_tail,1785477756222719516,1785477756330087989,107368473,10843366783
55,182,11,6,rank182:B3,10729022215,first_optimizer_collective_or_local_tail,1785477756221500638,1785477756331998436,110497798,10839520013
55,183,11,7,rank183:B3,10730817579,first_optimizer_collective_or_local_tail,1785477756222138750,1785477756331840372,109701622,10840519201
55,184,11,8,rank184:B3,10922602737,first_optimizer_collective_or_local_tail,1785477756388386976,1785477756495019146,106632170,11029234907
55,185,11,9,rank185:B3,10925683856,first_optimizer_collective_or_local_tail,1785477756389178532,1785477756495417975,106239443,11031923299
55,186,11,10,rank186:B3,10938101545,first_optimizer_collective_or_local_tail,1785477756389439284,1785477756494754004,105314720,11043416265
55,187,11,11,rank187:B3,10944264882,first_optimizer_collective_or_local_tail,1785477756388454725,1785477756494955721,106500996,11050765878
55,188,11,12,rank188:B3,10940087932,first_optimizer_collective_or_local_tail,1785477756388022230,1785477756494286969,106264739,11046352671
55,189,11,13,rank189:B3,10941982998,first_optimizer_collective_or_local_tail,1785477756388216876,1785477756494138330,105921454,11047904452
55,190,11,14,rank190:B3,10937044881,first_optimizer_collective_or_local_tail,1785477756389175401,1785477756495489418,106314017,11043358898
55,191,11,15,rank191:B3,10932508843,first_optimizer_collective_or_local_tail,1785477756388367327,1785477756495984771,107617444,11040126287
55,192,12,0,rank192:B3,10045962920,first_optimizer_collective_or_local_tail,1785477755443021271,1785477755553222978,110201707,10156164627
55,193,12,1,rank193:B3,10044762333,first_optimizer_collective_or_local_tail,1785477755444108513,1785477755553114813,109006300,10153768633
55,194,12,2,rank194:B3,10049129657,first_optimizer_collective_or_local_tail,1785477755443267650,1785477755554370092,111102442,10160232099
55,195,12,3,rank195:B3,10047400195,first_optimizer_collective_or_local_tail,1785477755443539043,1785477755554745858,111206815,10158607010
55,196,12,4,rank196:B3,10047666261,first_optimizer_collective_or_local_tail,1785477755443197530,1785477755553219218,110021688,10157687949
55,197,12,5,rank197:B3,10049739049,first_optimizer_collective_or_local_tail,1785477755443151861,1785477755552806980,109655119,10159394168
55,198,12,6,rank198:B3,10043332453,first_optimizer_collective_or_local_tail,1785477755442936684,1785477755553870178,110933494,10154265947
55,199,12,7,rank199:B3,10047122751,first_optimizer_collective_or_local_tail,1785477755444830487,1785477755554298351,109467864,10156590615
55,200,12,8,rank200:B3,10233134776,first_optimizer_collective_or_local_tail,1785477755604582880,1785477755711728971,107146091,10340280867
55,201,12,9,rank201:B3,10235687563,first_optimizer_collective_or_local_tail,1785477755604562665,1785477755711995079,107432414,10343119977
55,202,12,10,rank202:B3,10246849465,first_optimizer_collective_or_local_tail,1785477755605096581,1785477755711149330,106052749,10352902214
55,203,12,11,rank203:B3,10253767203,first_optimizer_collective_or_local_tail,1785477755605877678,1785477755710802814,104925136,10358692339
55,204,12,12,rank204:B3,10249078696,first_optimizer_collective_or_local_tail,1785477755604681268,1785477755710055268,105374000,10354452696
55,205,12,13,rank205:B3,10251018674,first_optimizer_collective_or_local_tail,1785477755604644444,1785477755710295116,105650672,10356669346
55,206,12,14,rank206:B3,10246139271,first_optimizer_collective_or_local_tail,1785477755606095784,1785477755711114858,105019074,10351158345
55,207,12,15,rank207:B3,10242901821,first_optimizer_collective_or_local_tail,1785477755604650261,1785477755711582664,106932403,10349834224
55,208,13,0,rank208:B3,9363586690,first_optimizer_collective_or_local_tail,1785477754666075458,1785477754773589591,107514133,9471100823
55,209,13,1,rank209:B3,9361187486,first_optimizer_collective_or_local_tail,1785477754666506453,1785477754773075201,106568748,9467756234
55,210,13,2,rank210:B3,9366446630,first_optimizer_collective_or_local_tail,1785477754668057664,1785477754773378248,105320584,9471767214
55,211,13,3,rank211:B3,9363413468,first_optimizer_collective_or_local_tail,1785477754665894681,1785477754773158525,107263844,9470677312
55,212,13,4,rank212:B3,9364764353,first_optimizer_collective_or_local_tail,1785477754666748297,1785477754773315175,106566878,9471331231
55,213,13,5,rank213:B3,9366578532,first_optimizer_collective_or_local_tail,1785477754666752106,1785477754772841744,106089638,9472668170
55,214,13,6,rank214:B3,9360851392,first_optimizer_collective_or_local_tail,1785477754665650978,1785477754773307374,107656396,9468507788
