iteration,node_id,kind,phase,microbatch,rank,pp_stage,pp_lane,src_rank,dst_rank,src_stage,dst_stage,sequence,region,duration_ns,network_service_ns,software_completion_ns,observed_start_ns,observed_end_ns,predicted_start_ns,predicted_end_ns,critical_predecessor,local_wait_ns
55,lane0:B1:s14->s13,pp_message,backward,1,-1,14,0,224,208,14,13,-1,p2p,4712346,4712346,0,,,6963040812,6967753158,rank224:B1,0
55,lane0:F3:s13->s14,pp_message,forward,3,-1,13,0,208,224,13,14,-1,p2p,4712346,4712346,0,,,6977204937,6981917283,rank208:F3,0
55,rank208:B1,compute,backward,1,208,13,0,208,208,13,13,5,steady,685879125,0,0,1.7854777520901998e+18,1.7854777527760788e+18,6981917283,7667796408,lane0:F3:s13->s14,4712346
55,rank224:F3,compute,forward,3,224,14,0,224,224,14,14,5,steady,308769104,0,0,1.7854777520901778e+18,1.7854777523989468e+18,6981917283,7290686387,lane0:F3:s13->s14,18876471
55,lane0:F3:s14->s15,pp_message,forward,3,-1,14,0,224,240,14,15,-1,p2p,4712346,4712346,0,,,7290686387,7295398733,rank224:F3,0
55,rank224:B2,compute,backward,2,224,14,0,224,224,14,14,6,steady,686633255,0,0,1.7854777524050296e+18,1.7854777530916628e+18,7295398733,7982031988,lane0:F3:s14->s15,4712346
55,rank240:F3,compute,forward,3,240,15,0,240,240,15,15,6,steady,189636237,0,0,1.7854777524050386e+18,1.7854777525946747e+18,7295398733,7485034970,lane0:F3:s14->s15,454587492
55,lane0:B0:s12->s11,pp_message,backward,0,-1,12,0,192,176,12,11,-1,p2p,4712346,4712346,0,,,7344342136,7349054482,rank192:B0,0
55,rank176:B0,compute,backward,0,176,11,0,176,176,11,11,4,cooldown,675074046,0,0,1.7854777525512535e+18,1.7854777532263276e+18,7349054482,8024128528,lane0:B0:s12->s11,2478782842
55,rank240:B3,compute,backward,3,240,15,0,240,240,15,15,7,steady,370214684,0,0,1.7854777525948498e+18,1.7854777529650644e+18,7485034970,7855249654,rank240:F3,0
55,lane0:B1:s13->s12,pp_message,backward,1,-1,13,0,208,192,13,12,-1,p2p,4712346,4712346,0,,,7667796408,7672508754,rank208:B1,0
55,rank192:B1,compute,backward,1,192,12,0,192,192,12,12,5,cooldown,679405117,0,0,1.785477752873825e+18,1.78547775355323e+18,7672508754,8351913871,lane0:B1:s13->s12,328166618
55,lane0:B3:s15->s14,pp_message,backward,3,-1,15,0,240,224,15,14,-1,p2p,4712346,4712346,0,,,7855249654,7859962000,rank240:B3,0
55,lane0:B2:s14->s13,pp_message,backward,2,-1,14,0,224,208,14,13,-1,p2p,4712346,4712346,0,,,7982031988,7986744334,rank224:B2,0
55,rank208:B2,compute,backward,2,208,13,0,208,208,13,13,6,cooldown,690962929,0,0,1.7854777531905823e+18,1.7854777538815452e+18,7986744334,8677707263,lane0:B2:s14->s13,318947926
55,rank224:B3,compute,backward,3,224,14,0,224,224,14,14,7,cooldown,685425447,0,0,1.7854777531965614e+18,1.7854777538819868e+18,7986744334,8672169781,lane0:B2:s14->s13,4712346
55,lane0:B0:s11->s10,pp_message,backward,0,-1,11,0,176,160,11,10,-1,p2p,4712346,4712346,0,,,8024128528,8028840874,rank176:B0,0
55,rank160:B0,compute,backward,0,160,10,0,160,160,10,10,4,cooldown,684778882,0,0,1.7854777533251456e+18,1.7854777540099246e+18,8028840874,8713619756,lane0:B0:s11->s10,3470188341
55,lane0:B1:s12->s11,pp_message,backward,1,-1,12,0,192,176,12,11,-1,p2p,4712346,4712346,0,,,8351913871,8356626217,rank192:B1,0
55,rank176:B1,compute,backward,1,176,11,0,176,176,11,11,5,cooldown,685904004,0,0,1.7854777536531738e+18,1.785477754339078e+18,8356626217,9042530221,lane0:B1:s12->s11,332497689
