iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_lane_origin_ns,predicted_backward_done_relative_ns,predicted_backward_done_ns,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_start_ns
55,195,12,3,rank195:B3,1785477744811134701,10047400195,1785477754858534896,1785477755443539043,1785477755554745858,111206815,1785477754969741711
55,196,12,4,rank196:B3,1785477744808924105,10047666261,1785477754856590366,1785477755443197530,1785477755553219218,110021688,1785477754966612054
55,197,12,5,rank197:B3,1785477744808609781,10049739049,1785477754858348830,1785477755443151861,1785477755552806980,109655119,1785477754968003949
55,198,12,6,rank198:B3,1785477744808565246,10043332453,1785477754851897699,1785477755442936684,1785477755553870178,110933494,1785477754962831193
55,199,12,7,rank199:B3,1785477744808446696,10047122751,1785477754855569447,1785477755444830487,1785477755554298351,109467864,1785477754965037311
55,200,12,8,rank200:B3,1785477744808618037,10233134776,1785477755041752813,1785477755604582880,1785477755711728971,107146091,1785477755148898904
55,201,12,9,rank201:B3,1785477744808590481,10235687563,1785477755044278044,1785477755604562665,1785477755711995079,107432414,1785477755151710458
55,202,12,10,rank202:B3,1785477744809248162,10246849465,1785477755056097627,1785477755605096581,1785477755711149330,106052749,1785477755162150376
55,203,12,11,rank203:B3,1785477744809005006,10253767203,1785477755062772209,1785477755605877678,1785477755710802814,104925136,1785477755167697345
55,204,12,12,rank204:B3,1785477744809228982,10249078696,1785477755058307678,1785477755604681268,1785477755710055268,105374000,1785477755163681678
55,205,12,13,rank205:B3,1785477744808336642,10251018674,1785477755059355316,1785477755604644444,1785477755710295116,105650672,1785477755165005988
55,206,12,14,rank206:B3,1785477744808877140,10246139271,1785477755055016411,1785477755606095784,1785477755711114858,105019074,1785477755160035485
