iteration,node_id,source_model,kind,category,rank,pp_stage,pp_lane,microbatch,predicted_start_ns,predicted_end_ns,duration_ns,network_service_ns,software_completion_ns,group_key,dependency
55,lane8:F3:s6->s7,pipeline,pp_message,forward,-1,6,8,3,1785477748173717586,1785477748178429932,4712346,4712346,0,,rank104:F3
55,rank120:F3,pipeline,compute,forward,120,7,8,3,1785477748178429932,1785477748487982704,309552772,0,0,,lane8:F3:s6->s7
55,lane8:F0:s10->s11,pipeline,pp_message,forward,-1,10,8,0,1785477748297016879,1785477748301729225,4712346,4712346,0,,rank168:F0
55,rank184:F0,pipeline,compute,forward,184,11,8,0,1785477748301729225,1785477748614822948,313093723,0,0,,lane8:F0:s10->s11
55,lane8:F1:s9->s10,pipeline,pp_message,forward,-1,9,8,1,1785477748479399114,1785477748484111460,4712346,4712346,0,,rank152:F1
55,rank168:F1,pipeline,compute,forward,168,10,8,1,1785477748484111460,1785477748795038091,310926631,0,0,,lane8:F1:s9->s10
55,lane8:F2:s8->s9,pipeline,pp_message,forward,-1,8,8,2,1785477748485003823,1785477748489716169,4712346,4712346,0,,rank136:F2
55,lane8:F3:s7->s8,pipeline,pp_message,forward,-1,7,8,3,1785477748487982704,1785477748492695050,4712346,4712346,0,,rank120:F3
55,rank152:F2,pipeline,compute,forward,152,9,8,2,1785477748489716169,1785477748806501999,316785830,0,0,,lane8:F2:s8->s9
55,rank136:F3,pipeline,compute,forward,136,8,8,3,1785477748492695050,1785477748802540869,309845819,0,0,,lane8:F3:s7->s8
55,lane8:F0:s11->s12,pipeline,pp_message,forward,-1,11,8,0,1785477748614822948,1785477748619535294,4712346,4712346,0,,rank184:F0
55,rank200:F0,pipeline,compute,forward,200,12,8,0,1785477748619535294,1785477748931057791,311522497,0,0,,lane8:F0:s11->s12
55,lane8:F1:s10->s11,pipeline,pp_message,forward,-1,10,8,1,1785477748795038091,1785477748799750437,4712346,4712346,0,,rank168:F1
55,rank184:F1,pipeline,compute,forward,184,11,8,1,1785477748799750437,1785477749108354577,308604140,0,0,,lane8:F1:s10->s11
55,lane8:F3:s8->s9,pipeline,pp_message,forward,-1,8,8,3,1785477748802540869,1785477748807253215,4712346,4712346,0,,rank136:F3
55,lane8:F2:s9->s10,pipeline,pp_message,forward,-1,9,8,2,1785477748806501999,1785477748811214345,4712346,4712346,0,,rank152:F2
55,rank152:F3,pipeline,compute,forward,152,9,8,3,1785477748811214345,1785477749130159160,318944815,0,0,,lane8:F2:s9->s10
